age,education,marital_status,income,expenditure,days,children,wines,fruits,meat,fish,sweets,gold
63,Postgraduate,Single,49389.0,65,489,2,40,0,19,2,1,3
44,Postgraduate,Married,67353.0,913,365,1,702,17,151,0,8,35
38,Undergraduate,Married,23718.0,81,485,1,6,3,14,15,7,36
41,Postgraduate,Widow,42429.0,67,323,1,55,0,6,2,0,4
71,Postgraduate,Divorced,48948.0,902,698,0,437,8,206,160,49,42
34,Postgraduate,Married,80011.0,1395,611,1,421,76,536,82,178,102
29,Postgraduate,Married,20559.0,53,659,1,13,1,29,3,0,7
57,Postgraduate,Married,21994.0,22,737,1,9,0,6,3,1,3
39,Postgraduate,Married,7500.0,31,455,1,3,1,10,3,2,12
38,Postgraduate,Single,79941.0,984,186,0,123,164,266,227,30,174
18,Undergraduate,Married,7500.0,122,782,0,3,18,14,15,22,50
46,Postgraduate,Married,41728.0,55,586,1,13,6,15,3,5,13
60,Postgraduate,Married,72550.0,1319,783,2,826,50,317,50,38,38
57,Postgraduate,Widow,65486.0,507,233,1,245,19,125,37,67,14
50,Postgraduate,Married,79143.0,1693,872,0,650,37,780,27,167,32
37,Postgraduate,Single,35790.0,72,728,1,12,6,20,30,1,3
37,Postgraduate,Divorced,82582.0,1617,207,0,510,120,550,156,40,241
36,Postgraduate,Married,66373.0,606,567,2,328,9,124,12,24,109
59,Postgraduate,Married,82384.0,1957,772,0,984,51,432,180,120,190
48,Postgraduate,Divorced,70287.0,1093,638,0,295,35,482,121,120,40
26,Postgraduate,Single,27938.0,29,247,1,13,0,8,2,1,5
46,Postgraduate,Married,55954.0,518,303,1,447,0,28,0,0,43
32,Postgraduate,Single,75777.0,1438,545,0,712,26,538,69,13,80
39,Postgraduate,Married,66653.0,612,845,2,452,18,102,16,18,6
62,Postgraduate,Single,61823.0,884,681,1,523,7,134,37,14,169
63,Postgraduate,Widow,67680.0,606,568,1,546,0,48,0,6,6
66,Postgraduate,Married,70666.0,1076,390,0,398,40,367,119,122,30
43,Postgraduate,Married,25721.0,34,589,1,1,3,6,3,6,15
47,Postgraduate,Married,32474.0,11,234,2,10,0,1,0,0,0
35,Undergraduate,Single,88194.0,1274,287,1,688,14,309,201,24,38
56,Postgraduate,Married,69096.0,653,460,1,247,49,159,7,82,109
44,Postgraduate,Married,74854.0,1562,632,3,856,59,487,58,29,73
60,Postgraduate,Married,66991.0,1253,841,0,496,36,460,189,60,12
55,Postgraduate,Married,65031.0,863,654,1,258,107,291,84,37,86
39,Postgraduate,Married,60631.0,661,635,2,565,6,65,0,6,19
62,Postgraduate,Married,28332.0,65,245,0,14,10,13,4,15,9
37,Postgraduate,Divorced,40246.0,13,742,1,2,1,6,2,1,1
42,Postgraduate,Married,75251.0,1890,856,0,721,111,925,97,18,18
38,Postgraduate,Single,75825.0,2209,810,0,1032,105,779,137,105,51
38,Undergraduate,Married,26326.0,18,483,0,1,0,5,0,3,9
49,Postgraduate,Married,56046.0,692,728,0,577,0,64,0,0,51
29,Postgraduate,Single,29760.0,165,854,1,64,4,68,7,5,17
45,Postgraduate,Married,26304.0,16,556,1,4,1,5,2,0,4
41,Undergraduate,Married,23559.0,79,546,1,25,5,19,7,0,23
51,Postgraduate,Married,38620.0,318,599,0,112,17,44,34,22,89
27,Postgraduate,Divorced,81361.0,778,309,0,163,23,424,27,65,76
54,Postgraduate,Married,29440.0,56,507,2,17,8,14,10,4,3
44,Postgraduate,Married,36138.0,151,533,2,130,0,16,0,0,5
57,Postgraduate,Single,50388.0,372,217,1,292,6,37,0,3,34
41,Postgraduate,Married,79593.0,1366,233,0,350,60,568,110,133,145
47,Postgraduate,Married,54178.0,194,344,1,135,9,39,4,0,7
42,Postgraduate,Single,42394.0,32,283,1,15,2,10,0,1,4
44,Postgraduate,Married,23626.0,43,221,1,27,2,14,0,0,0
31,Postgraduate,Married,30096.0,45,223,1,5,3,11,12,5,9
54,Postgraduate,Widow,47916.0,606,769,1,505,0,26,0,0,75
42,Postgraduate,Divorced,51813.0,63,629,2,51,2,7,0,1,2
63,Undergraduate,Married,78497.0,978,395,0,207,26,447,75,0,223
31,Postgraduate,Married,50150.0,410,559,0,135,46,92,65,61,11
54,Undergraduate,Single,47823.0,72,526,1,53,1,5,2,1,10
55,Postgraduate,Single,34554.0,55,276,1,41,1,6,2,0,5
35,Postgraduate,Married,85693.0,1169,620,1,386,172,183,185,132,111
69,Postgraduate,Married,65846.0,1120,593,0,562,81,276,80,40,81
55,Postgraduate,Married,87195.0,1097,237,0,217,76,690,50,26,38
35,Undergraduate,Married,24594.0,29,386,1,1,3,6,10,0,9
50,Postgraduate,Married,49096.0,187,463,2,144,1,32,2,1,7
45,Postgraduate,Married,52413.0,910,697,2,295,106,271,75,98,65
36,Postgraduate,Single,38557.0,145,742,1,76,3,31,4,4,27
54,Postgraduate,Married,89058.0,850,754,0,454,194,106,31,22,43
35,Postgraduate,Married,77298.0,969,424,1,425,115,292,23,35,79
23,Postgraduate,Single,68126.0,1820,781,0,1332,17,311,23,51,86
51,Postgraduate,Married,57288.0,608,189,1,527,0,21,0,0,60
23,Postgraduate,Single,86037.0,730,728,0,490,44,125,29,20,22
34,Postgraduate,Married,43974.0,551,749,1,378,0,101,0,0,72
52,Postgraduate,Single,50785.0,114,477,2,64,1,21,0,1,27
44,Postgraduate,Married,90765.0,1724,341,0,547,99,812,151,82,33
36,Undergraduate,Married,36550.0,577,680,1,47,90,94,123,103,120
47,Undergraduate,Married,30753.0,81,538,2,12,5,25,0,9,30
45,Postgraduate,Married,21918.0,33,412,1,1,6,7,11,5,3
61,Postgraduate,Married,56129.0,660,559,1,320,48,133,39,72,48
47,Postgraduate,Single,32557.0,80,310,1,34,3,29,0,4,10
29,Postgraduate,Married,19510.0,30,483,2,9,0,7,3,4,7
38,Postgraduate,Divorced,30992.0,43,618,1,17,0,14,7,3,2
31,Postgraduate,Single,101970.0,1135,659,0,722,27,102,44,72,168
49,Undergraduate,Married,71488.0,559,681,0,162,33,124,40,28,172
30,Postgraduate,Single,79607.0,1923,619,0,450,133,951,173,0,216
61,Postgraduate,Married,54348.0,90,206,2,70,0,16,0,0,4
58,Postgraduate,Married,77376.0,661,235,2,492,19,110,16,12,12
62,Postgraduate,Married,62998.0,463,457,1,120,58,73,65,89,58
56,Postgraduate,Single,61331.0,632,661,2,534,5,47,0,5,41
45,Postgraduate,Married,73448.0,725,324,0,236,106,189,23,41,130
50,Postgraduate,Married,41551.0,279,504,2,220,0,33,3,0,23
47,Postgraduate,Married,62981.0,1482,654,0,796,14,590,38,44,0
38,Undergraduate,Divorced,9548.0,29,875,1,0,1,3,10,6,9
55,Postgraduate,Married,33762.0,106,542,3,53,1,34,2,0,16
41,Postgraduate,Single,35860.0,49,226,2,15,0,8,4,2,20
49,Postgraduate,Divorced,36921.0,38,521,2,17,1,12,3,1,4
22,Postgraduate,Single,92859.0,2077,803,0,962,61,921,52,61,20
38,Postgraduate,Married,65104.0,1053,412,1,738,0,232,13,20,50
52,Postgraduate,Married,86111.0,1385,621,0,399,28,756,36,40,126
40,Postgraduate,Single,68352.0,871,490,1,614,16,132,43,33,33
26,Postgraduate,Married,41883.0,312,652,1,32,34,41,73,16,116
38,Postgraduate,Married,59809.0,877,804,2,598,16,141,32,41,49
39,Postgraduate,Married,23957.0,68,794,1,2,1,18,20,11,16
33,Postgraduate,Married,38547.0,22,490,1,6,1,10,0,1,4
41,Undergraduate,Married,35688.0,211,861,3,73,3,90,12,1,32
48,Postgraduate,Married,49605.0,127,193,0,42,16,29,12,20,8
61,Postgraduate,Married,59354.0,459,251,2,295,21,78,39,13,13
45,Postgraduate,Married,65747.0,460,299,1,346,17,48,23,13,13
42,Undergraduate,Married,46344.0,429,747,1,233,20,57,8,20,91
26,Postgraduate,Single,34176.0,89,233,1,5,7,24,19,14,20
62,Postgraduate,Married,61010.0,1021,813,1,888,0,57,0,0,76
65,Postgraduate,Married,69372.0,1381,680,0,997,26,269,34,13,42
56,Postgraduate,Single,49967.0,306,541,1,212,6,69,4,12,3
36,Postgraduate,Single,60199.0,18,475,3,8,1,7,2,0,0
37,Postgraduate,Married,55375.0,162,440,1,42,11,57,10,28,14
59,Postgraduate,Single,80317.0,1231,498,0,536,11,387,149,91,57
56,Postgraduate,Single,30523.0,13,548,3,5,0,3,0,0,5
69,Postgraduate,Married,70356.0,1706,786,0,1349,16,249,43,16,33
30,Postgraduate,Married,23228.0,121,360,1,53,3,49,7,4,5
39,Postgraduate,Divorced,74165.0,1293,609,0,1001,12,240,16,12,12
41,Postgraduate,Married,157243.0,1608,305,1,20,2,1582,1,2,1
48,Postgraduate,Married,43482.0,88,413,3,18,1,32,6,3,28
61,Postgraduate,Divorced,62551.0,421,408,0,125,16,98,134,21,27
55,Postgraduate,Divorced,52332.0,259,490,0,212,5,33,7,0,2
26,Postgraduate,Single,66951.0,1117,424,0,277,162,305,173,76,124
57,Postgraduate,Married,26091.0,89,309,2,15,10,19,8,17,20
49,Postgraduate,Married,33456.0,36,254,2,7,3,10,8,1,7
32,Postgraduate,Married,28718.0,57,536,1,12,4,6,11,8,16
44,Postgraduate,Married,50447.0,148,254,2,85,7,24,2,3,27
55,Postgraduate,Married,53537.0,93,335,2,81,0,6,0,0,6
47,Postgraduate,Single,52074.0,119,271,1,59,0,12,0,0,48
39,Postgraduate,Married,80427.0,1835,840,1,1149,71,449,69,71,26
66,Postgraduate,Married,83837.0,1318,745,0,847,66,119,86,89,111
44,Postgraduate,Married,38853.0,45,222,2,29,0,14,0,0,2
55,Postgraduate,Married,38285.0,10,190,3,2,0,5,2,0,1
63,Undergraduate,Married,78497.0,978,395,0,207,26,447,75,0,223
38,Postgraduate,Married,51650.0,191,234,1,152,3,22,2,5,7
26,Undergraduate,Married,16248.0,57,235,1,12,11,10,3,12,9
68,Postgraduate,Married,66835.0,1033,459,0,620,26,195,34,17,141
30,Postgraduate,Married,30477.0,66,343,1,47,1,6,0,0,12
53,Undergraduate,Married,28249.0,43,199,0,1,9,7,2,14,10
31,Postgraduate,Married,25271.0,50,756,1,10,1,18,10,4,7
44,Postgraduate,Single,32303.0,39,298,1,35,0,2,0,0,2
48,Postgraduate,Married,61286.0,608,516,1,356,0,107,19,9,117
38,Postgraduate,Married,74068.0,1581,652,0,783,30,537,140,76,15
50,Postgraduate,Married,45759.0,68,676,2,42,1,18,3,0,4
36,Undergraduate,Married,24882.0,80,843,1,1,4,10,29,0,36
25,Postgraduate,Married,66973.0,1282,593,0,466,22,432,147,113,102
114,Undergraduate,Divorced,36640.0,65,461,1,15,6,8,7,4,25
26,Postgraduate,Married,38872.0,91,580,1,23,3,21,3,19,22
41,Postgraduate,Married,51148.0,315,681,2,235,6,45,8,9,12
37,Postgraduate,Married,31353.0,31,367,2,10,0,10,3,1,7
34,Postgraduate,Married,69661.0,834,232,0,656,16,106,32,16,8
60,Postgraduate,Married,80067.0,1600,468,0,519,17,813,27,173,51
60,Postgraduate,Married,86718.0,1270,713,0,344,189,482,50,33,172
41,Postgraduate,Single,46854.0,263,275,2,96,1,79,7,1,79
62,Postgraduate,Divorced,69142.0,535,185,1,448,4,34,6,4,39
46,Postgraduate,Single,75922.0,1295,387,0,265,138,553,224,23,92
36,Postgraduate,Divorced,63693.0,1150,443,1,587,43,337,42,87,54
37,Postgraduate,Married,102160.0,1240,789,0,763,29,138,76,176,58
49,Postgraduate,Single,40637.0,38,532,2,22,0,13,0,0,3
30,Postgraduate,Single,18890.0,35,781,0,6,4,1,7,2,15
26,Postgraduate,Married,29604.0,53,388,1,7,6,13,7,6,14
51,Postgraduate,Divorced,48721.0,293,597,2,81,18,113,47,13,21
48,Postgraduate,Married,44794.0,65,206,1,54,0,7,0,0,4
60,Postgraduate,Divorced,64497.0,1804,842,1,1170,48,320,42,32,192
58,Postgraduate,Married,46097.0,241,640,1,72,24,68,65,4,8
60,Postgraduate,Married,77972.0,1101,288,0,613,22,319,33,102,12
46,Postgraduate,Married,44377.0,264,817,2,224,0,30,0,0,10
40,Postgraduate,Married,46014.0,541,709,2,410,0,59,19,9,44
29,Postgraduate,Married,70951.0,1198,606,0,239,10,554,254,87,54
37,Postgraduate,Married,41443.0,482,274,1,171,7,171,25,19,89
36,Undergraduate,Single,52195.0,17,233,3,12,0,4,0,0,1
66,Postgraduate,Married,83790.0,1615,411,0,1076,16,417,42,48,16
60,Postgraduate,Widow,44551.0,285,487,1,182,4,33,0,0,66
34,Postgraduate,Married,69508.0,1135,777,1,824,32,162,42,32,43
26,Undergraduate,Married,45204.0,114,264,1,30,11,25,29,1,18
45,Postgraduate,Married,72460.0,1047,412,0,377,10,540,80,30,10
44,Postgraduate,Married,77622.0,714,261,2,520,7,154,19,0,14
34,Postgraduate,Married,30732.0,185,725,1,155,1,25,0,1,3
52,Postgraduate,Divorced,63887.0,1245,844,1,897,23,207,15,11,92
36,Postgraduate,Married,42011.0,189,645,1,131,0,16,2,1,39
38,Postgraduate,Married,51369.0,576,797,1,297,7,79,0,11,182
62,Postgraduate,Divorced,51537.0,1103,752,1,787,20,204,0,0,92
42,Postgraduate,Married,79930.0,1753,875,0,792,86,740,67,51,17
28,Postgraduate,Married,34320.0,17,318,1,4,1,9,3,0,0
48,Postgraduate,Single,37070.0,433,651,2,231,7,137,4,15,39
52,Undergraduate,Divorced,81975.0,1588,725,1,983,76,184,180,138,27
43,Postgraduate,Married,38590.0,22,595,1,3,1,8,4,3,3
63,Postgraduate,Single,15033.0,19,259,0,0,4,5,6,0,4
49,Postgraduate,Married,62745.0,1117,648,1,562,21,464,28,10,32
39,Undergraduate,Married,22212.0,69,387,1,5,9,20,6,8,21
32,Postgraduate,Married,23661.0,23,392,1,18,0,4,0,0,1
56,Postgraduate,Single,79761.0,605,453,1,415,5,124,15,35,11
41,Postgraduate,Single,7500.0,57,370,1,5,3,10,12,7,20
121,Undergraduate,Single,60182.0,22,228,1,8,0,5,7,0,2
46,Postgraduate,Widow,73455.0,2088,429,0,901,61,757,186,163,20
56,Postgraduate,Married,64961.0,1009,738,1,382,114,276,75,124,38
43,Postgraduate,Single,22804.0,26,518,1,14,1,7,2,1,1
24,Postgraduate,Married,73687.0,1627,398,0,559,153,503,218,13,181
56,Postgraduate,Married,61074.0,1102,866,1,789,0,133,0,28,152
50,Postgraduate,Married,31686.0,17,209,2,11,0,5,0,0,1
42,Postgraduate,Married,80134.0,1690,590,1,1218,16,272,104,0,80
61,Postgraduate,Married,75027.0,1390,721,1,925,64,179,133,12,77
26,Postgraduate,Married,67546.0,2126,852,0,864,134,768,150,38,172
45,Postgraduate,Married,65176.0,1531,793,1,960,28,183,220,70,70
39,Postgraduate,Single,31160.0,64,471,1,16,3,25,6,1,13
29,Postgraduate,Single,29938.0,26,430,1,3,3,7,0,2,11
40,Postgraduate,Divorced,102692.0,1112,635,0,168,148,444,32,172,148
56,Undergraduate,Married,26490.0,210,830,0,45,47,52,21,20,25
47,Postgraduate,Married,75702.0,1148,854,2,650,28,353,45,42,30
40,Postgraduate,Single,30899.0,33,809,1,24,0,8,0,0,1
53,Postgraduate,Married,63342.0,1101,806,1,918,21,118,13,10,21
50,Postgraduate,Single,45989.0,322,800,1,138,33,87,28,24,12
50,Postgraduate,Single,18701.0,44,575,2,12,4,2,10,6,10
57,Postgraduate,Single,40737.0,17,388,3,11,0,4,0,0,2
35,Postgraduate,Divorced,15287.0,31,812,1,1,2,8,4,3,13
46,Postgraduate,Divorced,69674.0,845,588,2,554,41,215,11,0,24
44,Postgraduate,Married,44159.0,275,197,1,167,2,62,24,13,7
36,Postgraduate,Married,37717.0,25,768,1,9,0,6,4,1,5
62,Postgraduate,Married,43776.0,275,696,2,177,2,71,3,2,20
48,Postgraduate,Married,38179.0,90,657,2,38,4,22,4,2,20
51,Postgraduate,Married,80124.0,1495,188,0,483,84,398,205,84,241
44,Postgraduate,Married,38097.0,184,807,2,77,2,35,0,1,69
44,Postgraduate,Married,72940.0,981,560,0,182,74,298,162,149,116
44,Postgraduate,Married,22070.0,67,453,1,10,7,19,8,2,21
61,Postgraduate,Single,69267.0,1635,830,0,778,44,499,95,73,146
31,Postgraduate,Single,31788.0,60,286,1,16,7,23,0,8,6
39,Postgraduate,Married,61905.0,231,330,1,167,0,43,6,2,13
54,Postgraduate,Married,29315.0,48,269,2,13,2,14,8,7,4
51,Postgraduate,Divorced,33378.0,99,693,2,33,6,40,3,7,10
51,Postgraduate,Married,66313.0,770,471,1,625,7,99,10,22,7
58,Postgraduate,Single,60714.0,957,713,0,216,162,224,101,92,162
33,Postgraduate,Married,77882.0,818,245,0,68,129,396,188,22,15
28,Postgraduate,Single,69867.0,925,638,0,196,0,512,33,130,54
46,Postgraduate,Divorced,63841.0,908,619,1,635,15,100,20,7,131
33,Undergraduate,Married,24480.0,102,688,1,4,19,9,28,25,17
38,Postgraduate,Married,51369.0,576,797,1,297,7,79,0,11,182
68,Postgraduate,Married,37760.0,317,852,0,84,5,38,150,12,28
40,Postgraduate,Married,65640.0,461,305,1,204,7,149,20,15,66
39,Postgraduate,Married,44319.0,37,258,2,26,0,8,0,0,3
40,Postgraduate,Married,30631.0,70,537,1,15,6,20,4,5,20
62,Postgraduate,Married,75278.0,930,701,0,304,98,230,150,74,74
58,Postgraduate,Married,50898.0,859,722,2,285,28,242,55,114,135
48,Postgraduate,Widow,79946.0,1478,233,0,395,183,565,166,141,28
65,Postgraduate,Divorced,35416.0,390,566,0,248,3,81,4,3,51
30,Undergraduate,Married,32414.0,52,545,0,20,6,5,0,9,12
45,Postgraduate,Married,38361.0,137,369,1,39,0,56,20,8,14
34,Postgraduate,Married,82497.0,1919,791,0,777,129,573,216,21,203
43,Postgraduate,Married,16626.0,68,350,2,8,3,22,21,1,13
49,Postgraduate,Married,29672.0,25,659,2,9,1,3,0,4,8
62,Postgraduate,Married,55951.0,1374,860,1,1241,0,80,0,13,40
26,Undergraduate,Divorced,35388.0,32,664,1,6,4,7,4,3,8
28,Postgraduate,Married,42386.0,100,717,1,65,4,16,0,4,11
32,Postgraduate,Single,68627.0,825,718,0,395,15,263,60,54,38
49,Postgraduate,Divorced,57912.0,916,289,1,801,0,80,0,0,35
56,Postgraduate,Divorced,35246.0,62,259,2,36,0,12,2,2,10
58,Undergraduate,Married,58821.0,728,445,1,513,14,154,19,0,28
36,Postgraduate,Married,46377.0,90,305,1,37,0,46,4,3,0
26,Postgraduate,Single,39747.0,273,262,1,80,15,93,20,13,52
30,Postgraduate,Married,23976.0,66,369,1,14,1,21,2,3,25
53,Postgraduate,Married,80950.0,1213,643,0,525,147,112,219,147,63
48,Postgraduate,Widow,27038.0,107,834,0,1,26,25,17,23,15
67,Postgraduate,Single,77457.0,1157,301,0,675,11,400,15,45,11
50,Postgraduate,Married,64100.0,546,477,1,509,0,27,0,0,10
22,Postgraduate,Married,42670.0,241,613,0,154,2,46,20,4,15
38,Postgraduate,Divorced,12571.0,53,347,1,3,5,14,2,12,17
47,Postgraduate,Married,22574.0,37,429,3,25,0,8,2,0,2
38,Postgraduate,Single,70893.0,1508,693,0,768,44,561,77,44,14
48,Postgraduate,Married,54198.0,235,379,2,185,0,28,3,2,17
58,Postgraduate,Married,28839.0,32,295,2,24,0,7,0,0,1
42,Postgraduate,Married,40321.0,102,520,2,44,4,21,6,0,27
29,Postgraduate,Single,66503.0,401,869,1,91,64,128,65,3,50
63,Postgraduate,Married,30833.0,28,533,2,11,0,7,3,1,6
43,Postgraduate,Married,64795.0,680,713,1,412,5,119,38,29,77
40,Postgraduate,Married,34421.0,30,548,1,3,3,7,6,2,9
49,Postgraduate,Divorced,47025.0,20,325,2,16,0,3,0,0,1
53,Postgraduate,Divorced,64325.0,1307,692,1,731,60,353,78,12,73
61,Postgraduate,Single,40464.0,630,719,1,424,17,118,7,23,41
57,Postgraduate,Married,62187.0,1283,544,0,792,0,275,45,45,126
38,Postgraduate,Divorced,14849.0,65,547,1,21,2,28,3,2,9
30,Postgraduate,Married,27255.0,37,419,1,22,1,11,0,1,2
64,Postgraduate,Married,54432.0,38,601,3,33,0,5,0,0,0
28,Postgraduate,Single,29999.0,160,686,1,68,7,59,10,5,11
31,Postgraduate,Single,24072.0,23,624,1,9,1,6,3,0,4
25,Postgraduate,Single,33996.0,71,476,0,40,2,15,8,0,6
58,Postgraduate,Married,66334.0,1161,637,1,909,11,218,0,0,23
43,Postgraduate,Married,35178.0,59,720,1,23,1,13,2,2,18
31,Postgraduate,Married,22010.0,33,549,1,11,2,9,3,0,8
54,Postgraduate,Divorced,62204.0,946,840,2,317,46,247,151,46,139
46,Postgraduate,Divorced,75693.0,1442,755,0,797,153,293,72,97,30
42,Postgraduate,Married,30675.0,62,779,1,10,2,16,11,2,21
49,Postgraduate,Married,83003.0,1674,668,0,856,61,570,40,25,122
115,Postgraduate,Married,83532.0,1853,461,0,755,144,562,104,64,224
26,Postgraduate,Single,68655.0,1538,873,0,456,19,832,75,118,38
28,Postgraduate,Divorced,41411.0,139,389,0,37,32,38,11,3,18
45,Postgraduate,Married,55212.0,1182,768,1,1103,0,45,0,0,34
64,Postgraduate,Married,59292.0,507,566,1,378,14,68,19,14,14
41,Undergraduate,Married,27190.0,18,503,1,1,6,7,0,1,3
62,Postgraduate,Divorced,82623.0,940,416,0,204,34,204,172,153,173
49,Postgraduate,Married,44300.0,42,556,2,30,0,9,0,0,3
44,Postgraduate,Divorced,84835.0,1190,198,0,189,104,379,111,189,218
43,Postgraduate,Widow,30372.0,44,736,2,15,0,12,7,3,7
38,Postgraduate,Married,33181.0,16,362,1,9,0,3,0,0,4
57,Postgraduate,Married,71113.0,835,379,1,495,33,255,11,33,8
28,Postgraduate,Married,71952.0,1443,720,1,656,80,455,52,107,93
48,Postgraduate,Single,69759.0,1029,429,0,452,20,514,13,30,0
40,Postgraduate,Married,72099.0,1188,795,0,546,91,410,119,0,22
38,Postgraduate,Single,60000.0,1277,739,1,1048,0,217,0,0,12
36,Postgraduate,Single,38643.0,49,397,2,22,2,14,0,1,10
59,Postgraduate,Married,50737.0,99,599,1,78,0,11,0,0,10
45,Postgraduate,Married,68462.0,1670,749,0,561,64,785,84,128,48
71,Postgraduate,Married,65073.0,900,498,0,629,17,177,69,0,8
66,Postgraduate,Married,46681.0,425,449,2,269,15,69,15,19,38
57,Postgraduate,Married,78618.0,2153,824,0,736,163,818,212,163,61
45,Postgraduate,Widow,62187.0,636,284,1,512,0,83,0,0,41
36,Postgraduate,Married,28442.0,57,310,2,19,3,10,11,8,6
36,Postgraduate,Married,37717.0,25,768,1,9,0,6,4,1,5
47,Postgraduate,Married,51479.0,494,733,2,247,8,160,6,8,65
45,Postgraduate,Single,54803.0,693,862,1,404,0,92,28,27,142
54,Postgraduate,Married,79530.0,1348,593,0,333,0,815,129,42,29
38,Postgraduate,Divorced,31615.0,51,655,1,2,3,20,6,11,9
52,Postgraduate,Married,72025.0,1932,774,0,833,33,549,151,133,233
39,Postgraduate,Single,52614.0,990,760,1,789,0,142,12,9,38
30,Undergraduate,Married,35684.0,30,253,1,10,4,7,0,6,3
39,Postgraduate,Married,48178.0,254,794,2,159,4,45,6,2,38
44,Postgraduate,Single,29548.0,29,489,1,7,1,6,3,1,11
48,Postgraduate,Single,63810.0,1371,780,1,977,12,253,16,12,101
42,Postgraduate,Single,38578.0,73,557,2,38,4,22,3,3,3
39,Postgraduate,Single,46098.0,120,865,2,57,0,27,0,0,36
44,Postgraduate,Single,22585.0,81,653,0,3,9,15,13,2,39
25,Postgraduate,Single,30279.0,37,731,1,10,4,14,4,4,1
53,Postgraduate,Married,66426.0,1377,455,1,1043,24,97,32,24,157
45,Postgraduate,Single,30822.0,51,565,1,3,9,13,2,12,12
45,Postgraduate,Married,33581.0,17,722,2,11,0,5,0,0,1
29,Postgraduate,Married,19986.0,22,412,1,3,6,5,0,2,6
60,Postgraduate,Widow,27421.0,324,749,0,43,12,96,78,40,55
41,Undergraduate,Married,35688.0,211,861,3,73,3,90,12,1,32
33,Postgraduate,Single,36143.0,19,276,1,12,0,1,0,0,6
43,Postgraduate,Single,10245.0,41,595,1,4,7,7,6,4,13
46,Postgraduate,Married,43795.0,492,441,1,314,11,53,4,3,107
54,Postgraduate,Married,63381.0,1005,817,1,571,50,142,33,50,159
65,Postgraduate,Married,38823.0,114,853,1,70,0,11,2,8,23
46,Postgraduate,Divorced,83664.0,1173,602,2,866,21,151,28,21,86
35,Postgraduate,Married,90300.0,1738,362,0,594,134,786,33,134,57
35,Postgraduate,Married,62499.0,222,387,1,140,4,61,0,13,4
21,Postgraduate,Single,74293.0,1127,241,0,375,152,335,93,91,81
68,Postgraduate,Married,51012.0,209,622,0,102,9,63,2,9,24
46,Postgraduate,Married,70777.0,787,309,1,554,35,113,0,7,78
23,Postgraduate,Married,68682.0,1598,451,0,919,0,505,99,30,45
43,Postgraduate,Married,43824.0,186,837,2,96,1,42,12,3,32
30,Postgraduate,Married,15345.0,47,852,1,5,2,16,3,2,19
27,Postgraduate,Single,23442.0,27,737,1,2,0,6,8,6,5
34,Undergraduate,Married,14515.0,96,782,1,6,4,9,6,36,35
58,Undergraduate,Divorced,31395.0,64,648,2,23,1,25,0,8,7
49,Postgraduate,Married,75276.0,1040,825,0,610,105,125,137,42,21
40,Postgraduate,Single,42373.0,163,503,2,67,5,61,3,8,19
54,Postgraduate,Married,30507.0,343,660,0,65,36,74,38,20,110
